date,date_japanese_era,seq,municipality_class,ward_jp,park_class_jp,park_count,park_area_m2,tokyo_ward,municipality_class_en,park_class_en
2016-04-01,H28.4.1,1,区部,千代田区,都立,1.0,161636.66,Chiyoda,Ward area,Metropolitan
2016-04-01,H28.4.1,2,区部,中央区,都立,1.0,250215.72,Chuo,Ward area,Metropolitan
2016-04-01,H28.4.1,3,区部,港区,都立,4.0,235658.05,Minato,Ward area,Metropolitan
2016-04-01,H28.4.1,4,区部,新宿区,都立,1.0,189119.97,Shinjuku,Ward area,Metropolitan
2016-04-01,H28.4.1,5,区部,文京区,都立,2.0,158656.58,Bunkyo,Ward area,Metropolitan
2016-04-01,H28.4.1,6,区部,台東区,都立,2.0,556742.43,Taito,Ward area,Metropolitan
2016-04-01,H28.4.1,7,区部,墨田区,都立,3.0,133593.01,Sumida,Ward area,Metropolitan
2016-04-01,H28.4.1,8,区部,江東区,都立,6.0,1139436.5,Koto,Ward area,Metropolitan
2016-04-01,H28.4.1,9,区部,品川区,都立,2.0,217553.78,Shinagawa,Ward area,Metropolitan
2016-04-01,H28.4.1,10,区部,目黒区,都立,0.0,114276.0,Meguro,Ward area,Metropolitan
2016-04-01,H28.4.1,12,区部,世田谷区,都立,4.0,920915.55,Setagaya,Ward area,Metropolitan
2016-04-01,H28.4.1,13,区部,渋谷区,都立,2.0,568910.03,Shibuya,Ward area,Metropolitan
2016-04-01,H28.4.1,15,区部,杉並区,都立,3.0,519372.8,Suginami,Ward area,Metropolitan
2016-04-01,H28.4.1,17,区部,北区,都立,1.0,71647.37,Kita,Ward area,Metropolitan
2016-04-01,H28.4.1,18,区部,荒川区,都立,2.0,191211.11,Arakawa,Ward area,Metropolitan
2016-04-01,H28.4.1,19,区部,板橋区,都立,2.0,470816.2,Itabashi,Ward area,Metropolitan
2016-04-01,H28.4.1,20,区部,練馬区,都立,4.0,1059970.76,Nerima,Ward area,Metropolitan
2016-04-01,H28.4.1,21,区部,足立区,都立,3.0,911199.18,Adachi,Ward area,Metropolitan
2016-04-01,H28.4.1,22,区部,葛飾区,都立,1.0,928253.05,Katsushika,Ward area,Metropolitan
2016-04-01,H28.4.1,23,区部,江戸川区,都立,4.0,1344780.26,Edogawa,Ward area,Metropolitan
2016-04-01,H28.4.1,24,区部,その他　※1,都立,0.0,34759.95,,Ward area,Metropolitan
2016-04-01,H28.4.1,1,市部,八王子市,都立,5.0,1203496.76,,city ​​area,Metropolitan
2016-04-01,H28.4.1,2,市部,立川市,都立,0.0,32774.81,,city ​​area,Metropolitan
2016-04-01,H28.4.1,3,市部,武蔵野市,都立,1.0,409053.45,,city ​​area,Metropolitan
2016-04-01,H28.4.1,4,市部,三鷹市,都立,1.0,472969.89,,city ​​area,Metropolitan
2016-04-01,H28.4.1,6,市部,府中市,都立,3.0,484476.32,,city ​​area,Metropolitan
2016-04-01,H28.4.1,7,市部,昭島市,都立,0.0,13123.67,,city ​​area,Metropolitan
2016-04-01,H28.4.1,8,市部,調布市,都立,3.0,945328.84,,city ​​area,Metropolitan
2016-04-01,H28.4.1,9,市部,町田市,都立,3.0,984271.28,,city ​​area,Metropolitan
2016-04-01,H28.4.1,10,市部,小金井市,都立,1.0,711870.35,,city ​​area,Metropolitan
2016-04-01,H28.4.1,11,市部,小平市,都立,2.0,161232.38,,city ​​area,Metropolitan
