年次,Year,地域階層,地域コード,地域,District,マーク Mark,面積 Area (km2),千分比 Permillage (‰),,,,,,
令和元,2019,0,13000,東京都,Tokyo-to,,2194.07,-,,,,,,
令和2,2020,0,13000,東京都,Tokyo-to,,2194.03,-,,,,,,
令和3,2021,0,13000,東京都,Tokyo-to,,2194.05,-,,,,,,
令和4,2022,0,13000,東京都,Tokyo-to,,2194.05,-,,,,,,
令和5,2023,0,13000,東京都,Tokyo-to,,2199.93,1000,,,,,,
令和5,2023,1,13100,区部,All ku,,627.51,285.24,,,,,,
令和5,2023,3,13101,千代田区,Chiyoda-ku,,11.66,5.3,,,,,,
令和5,2023,3,13102,中央区,Chuo-ku,,10.21,4.64,,,,,,
令和5,2023,3,13103,港区,Minato-ku,,20.36,9.25,,,,,,
令和5,2023,3,13104,新宿区,Shinjuku-ku,,18.22,8.28,,,,,,
令和5,2023,3,13105,文京区,Bunkyo-ku,,11.29,5.13,,,,,,
令和5,2023,3,13106,台東区,Taito-ku,,10.11,4.6,,,,,,
令和5,2023,3,13107,墨田区,Sumida-ku,,13.77,6.26,,,,,,
令和5,2023,3,13108,江東区,Koto-ku,,42.99,19.54,,,,,,
令和5,2023,3,13109,品川区,Shinagawa-ku,,22.85,10.39,,,,,,
令和5,2023,3,13110,目黒区,Meguro-ku,,14.67,6.67,,,,,,
令和5,2023,3,13111,大田区,Ota-ku,,61.86,28.12,,,,,,
令和5,2023,3,13112,世田谷区,Setagaya-ku,,58.05,26.39,,,,,,
令和5,2023,3,13113,渋谷区,Shibuya-ku,,15.11,6.87,,,,,,
令和5,2023,3,13114,中野区,Nakano-ku,,15.59,7.09,,,,,,
令和5,2023,3,13115,杉並区,Suginami-ku,,34.06,15.48,,,,,,
令和5,2023,3,13116,豊島区,Toshima-ku,,13.01,5.91,,,,,,
令和5,2023,3,13117,北区,Kita-ku,,20.61,9.37,,,,,,
令和5,2023,3,13118,荒川区,Arakawa-ku,,10.16,4.62,,,,,,
令和5,2023,3,13119,板橋区,Itabashi-ku,,32.22,14.65,,,,,,
令和5,2023,3,13120,練馬区,Nerima-ku,,48.08,21.86,,,,,,
令和5,2023,3,13121,足立区,Adachi-ku,,53.25,24.21,,,,,,
令和5,2023,3,13122,葛飾区,Katsushika-ku,,34.8,15.82,,,,,,
令和5,2023,3,13123,江戸川区,Edogawa-ku,,49.9,22.68,,,,,,
令和5,2023,3,,荒川河口部,Mouth of Arakawa river,1),1.12,0.51,,,,,,
